from_user_screen_name,state_account,bus_int_ind,other_ind,bus_orgs_unofficial,retweet_count,mtot,exception_mag,kauffman,retweet_dummy,mention_dummy,url_dummy,monday,tuesday,wednesday,thursday,friday,saturday,sunday,from_user_followers_count,from_user_friends_count,from_user_listed_count,from_user_statuses_count,entities_mentions_count,morning,day,evening,night
6_mayer,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-.31093168,-.22989886,-.28121856,-.59307927,-.51384372,0,1,0,0
6_mayer,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-.31093168,-.22989886,-.28121856,-.59360486,-.51384372,0,0,1,0
90Alvarodiaz,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,-.30858657,-.22400124,-.29091483,-.58113015,-.51384372,0,1,0,0
AaricBryan,0,1,0,0,9,0,0,0,1,0,0,0,1,0,0,0,0,0,-.30672815,-.22663634,-.27637041,-.59882605,-.51384372,1,0,0,0
AARPMontana,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-.23398532,-.09889663,-.17455953,-.48129737,-.51384372,1,0,0,0
AARPMontana,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-.23398532,-.09889663,-.17455953,-.48129737,-.51384372,0,1,0,0
AARPMontana,0,0,0,1,2,0,0,0,1,0,1,0,0,0,0,0,1,0,-.23420656,-.099273071,-.17455953,-.48154268,-.51384372,1,0,0,0
AARPMontana,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-.23478177,-.099398553,-.17455953,-.48220846,-.51384372,1,0,0,0
ABC_acres,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,-.31332102,-.25097966,-.28606668,-.59458601,-.51384372,0,1,0,0
ABC_acres,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,-.31336528,-.25097966,-.28606668,-.59521675,-.51384372,0,1,0,0
ABC_acres,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,-.31336528,-.25097966,-.28606668,-.59521675,-.51384372,0,1,0,0
ABC_acres,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-.31336528,-.25097966,-.28606668,-.59570736,-.51384372,0,1,0,0
ABC_acres,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-.31349802,-.25097966,-.28606668,-.59595263,-.51384372,1,0,0,0
